Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18,Perks 19
Aisha's Embrace,3709368142,"""6917530143412253654""",keep,Legendary,3,Scout Rifle,trials,Energy,Void,primary,425,Rapid-Fire Frame,Reload Speed,10,Vault,true,false,false,8,27,,55,71,45,53,20,0,0,0,60,260,48,17,44,0,0,0,0,0,0,0,0,24,50,0,0,false,0,86,,,PVP,Rapid-Fire Frame*,Chambered Compensator,Fluted Barrel*,Accurized Rounds*,Flared Magwell,Eye of the Storm,Rapid Hit*,Adagio,Precision Instrument*,Fleet Footed,Roar of Battle*,Crucible Tracker,Ballistics*,Masterworked: Reload Speed*,Superblack*,,,,,
Aisha's Embrace,3709368142,"""6917530143726032605""",keep,Legendary,5,Scout Rifle,trials,Energy,Void,primary,419,Rapid-Fire Frame,Reload Speed,10,Vault,true,false,false,8,27,,85,71,45,49,20,0,0,0,56,260,32,20,43,0,0,0,0,0,0,0,0,34,50,0,0,false,0,22,,,PVP,Rapid-Fire Frame*,Arrowhead Brake*,Chambered Compensator,Extended Mag*,Steady Rounds,Keep Away,Demoralize,Vorpal Weapon*,Adagio,Destabilizing Rounds,Kill Clip*,Fleet Footed,Roar of Battle*,Kill Tracker,Enhanced Range*,Masterworked: Reload Speed*,Achronal Aisha's Embrace*,Sparks Everlasting*,,
Aisha's Embrace,3709368142,"""6917530145920156529""",archive,Legendary,4,Scout Rifle,trials,Energy,Void,primary,446,Rapid-Fire Frame,Handling,3,Vault,true,false,false,8,27,,85,71,45,34,20,0,0,0,46,260,37,19,41,0,0,0,0,0,0,0,0,24,50,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Corkscrew Rifling,Appended Mag*,Tactical Mag,Rapid Hit*,Shoot to Loot,Withering Gaze*,Kill Clip,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 3: Handling*,,,,,,,
Alethonym,2350354266,"""6917530125519574490""",keep,Exotic,0,Grenade Launcher,seasonpass,KineticSlot,Stasis,primary,10,Harvester Spike,,,Vault,true,false,false,7,25,,100,69,0,0,13,100,84,0,35,90,80,1,91,0,0,0,0,0,0,0,0,4,70,0,0,false,0,0,,,,Harvester Spike*,Countermass*,High-Velocity Rounds*,Vestigial Alchemy*,Short-Action Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
ALLEN 05,423677697,"""6917530182669941280""",archive,Legendary,5,Sniper Rifle,,KineticSlot,Strand,special,470,Adaptive Frame,Range,4,Vault,true,false,false,8,28,,62,62,70,70,40,0,0,0,45,90,36,4,47,0,0,0,0,0,0,0,0,4,41,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Accurized Rounds*,Tactical Mag,Built to Blast*,Outlaw,Shoot to Loot,Hatchling*,Butterfly,To the Pain,Carrion Munitions*,Kill Tracker,Tier 4: Range*,Triumphant Pulse*,,,,,
Allied Demand,1532276803,"""6917529817967846938""",archive,Legendary,0,Sidearm,,KineticSlot,Kinetic,primary,10,Adaptive Frame,Stability,10,Vault,true,false,false,5,18,,97,85,49,59,12,0,0,0,67,300,30,15,43,0,0,0,0,0,0,0,0,23,44,0,0,false,0,161,field-forged,,,Adaptive Frame*,Fluted Barrel,Full Bore*,Accurized Rounds*,Flared Magwell,Rapid Hit*,Eye of the Storm*,Skulking Wolf*,Kill Tracker,Masterworked: Stability*,Midnight Talons*,,,,,,,,,
Ammit AR2,2119346509,"""6917529822372253418""",keep,Legendary,0,Auto Rifle,engram,Energy,Solar,primary,10,Precision Frame,Reload Speed,10,Vault,false,false,false,5,18,,100,44,29,68,15,0,0,0,57,450,48,33,58,0,0,0,0,0,0,0,0,20,48,0,0,crafted,22,2502,omolon,,,Precision Frame*,Arrowhead Brake*,Ricochet Rounds*,Ambitious Assassin*,Incandescent*,Omolon Fluid Dynamics*,Kill Tracker,Calus's Selected*,,,,,,,,,,,,
Ammit AR2,2119346509,"""6917529938134150478""",keep,Legendary,0,Auto Rifle,engram,Energy,Solar,primary,10,Precision Frame,,,Vault,false,false,false,5,18,,100,44,29,66,15,0,0,0,55,450,38,33,56,0,0,0,0,0,0,0,0,20,48,0,0,crafted,21,1290,omolon,,,Precision Frame*,Arrowhead Brake*,Ricochet Rounds*,Dynamic Sway Reduction*,Tap the Trigger*,Omolon Fluid Dynamics*,Kill Tracker,Superblack*,,,,,,,,,,,,
Apex Predator,1851777734,"""6917530000906134999""",keep,Legendary,0,Rocket Launcher,lastwish,Power,Solar,heavy,132,Adaptive Frame,Blast Radius,10,Vault,false,false,false,6,21,,61,68,0,0,20,60,61,0,55,20,46,1,61,0,0,0,0,0,0,0,0,3,33,0,0,crafted,79,738,,,,Adaptive Frame*,Quick Launch*,Impact Casing*,Reconstruction*,Bait and Switch*,Explosive Pact*,Kill Tracker,Quick Access Sling*,Golden Trace*,,,,,,,,,,,
Appetence,4153087276,"""6917530010670631033""",keep,Legendary,0,Trace Rifle,seasonpass,KineticSlot,Stasis,special,10,Adaptive Frame,Handling,10,Vault,false,false,false,6,23,,100,100,6,72,15,0,0,0,77,1000,48,104,70,0,0,0,0,0,0,0,0,9,43,0,0,crafted,23,107,,,,Adaptive Frame*,Arrowhead Brake*,Enhanced Battery*,Overflow*,Killing Tally*,Dragon's Vengeance*,Kill Tracker,Superblack*,,,,,,,,,,,,
Arbalest,2130065553,"""6917529343963210335""",keep,Exotic,0,Linear Fusion Rifle,,KineticSlot,Kinetic,special,401,Compounding Force,"Handling, Magazine",10,Vault,true,false,false,2,6,,87,31,41,56,25,0,0,0,55,0,28,6,40,533,0,0,0,0,0,0,0,12,34,0,0,false,0,961,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Electromagnetic Execution*,Arbalest Catalyst*,,,,,,,,,,,,
Aureus Neutralizer,3981920134,"""6917530141928893803""",archive,Legendary,3,Hand Cannon,trials,KineticSlot,Kinetic,primary,410,Spread Shot,Reload Speed,10,Vault,true,false,false,8,27,,89,68,96,69,12,0,0,0,43,100,42,8,36,0,0,0,0,0,0,0,0,20,60,0,0,false,0,12,hakke,,,Spread Shot*,Smoothbore*,Corkscrew Rifling,Accurized Rounds*,Steady Rounds,Grave Robber,Lone Wolf*,Cascade Point,Trench Barrel*,Fleet Footed*,Roar of Battle,Häkke Breach Armaments,Kill Tracker,Ballistics*,Masterworked: Reload Speed*,Primer*,,,,
Aureus Neutralizer,3981920134,"""6917530141946817679""",keep,Legendary,5,Hand Cannon,trials,KineticSlot,Kinetic,primary,470,Spread Shot,Handling,10,Vault,true,false,false,8,27,,89,68,96,76,12,0,0,0,46,100,34,8,48,0,0,0,0,0,0,0,0,20,60,0,0,false,0,275,hakke,,PVP,Spread Shot*,Smoothbore*,Smallbore,Accurized Rounds*,Extended Mag,Barrel Constrictor,Threat Detector*,Proximity Power,Desperate Measures,One-Two Punch,Opening Shot*,Fleet Footed*,Roar of Battle,Häkke Breach Armaments,Kill Tracker,Ballistics*,Masterworked: Handling*,Superblack*,Achronal Aureus Neutralizer*,Sparks Everlasting*
Aureus Neutralizer,3981920134,"""6917530142289055270""",archive,Legendary,3,Hand Cannon,trials,KineticSlot,Kinetic,primary,411,Spread Shot,Handling,10,Vault,true,false,false,8,27,,89,68,96,69,12,0,0,0,43,100,32,8,46,0,0,0,0,0,0,0,0,20,60,0,0,false,0,23,hakke,,,Spread Shot*,Smoothbore*,Full Choke,Accurized Rounds*,Appended Mag,Lone Wolf*,Threat Remover,Trench Barrel,Opening Shot*,Fleet Footed,Roar of Battle*,Häkke Breach Armaments,Kill Tracker,Ballistics*,Masterworked: Handling*,,,,,
Aureus Neutralizer,3981920134,"""6917530143597290836""",keep,Legendary,3,Hand Cannon,trials,KineticSlot,Kinetic,primary,416,Spread Shot,Reload Speed,1,Vault,true,false,false,8,27,,89,68,96,52,12,0,0,0,41,100,30,8,33,0,0,0,0,0,0,0,0,20,60,0,0,false,0,0,hakke,,PVP,Spread Shot*,Smallbore*,Full Choke,Accurized Rounds*,Appended Mag,Barrel Constrictor,Lone Wolf*,Trench Barrel*,Opening Shot,Fleet Footed*,Roar of Battle,Häkke Breach Armaments,Kill Tracker,Tier 1: Reload Speed*,,,,,,
Aureus Neutralizer,3981920134,"""6917530143798874996""",archive,Legendary,4,Hand Cannon,trials,KineticSlot,Kinetic,primary,418,Spread Shot,Reload Speed,3,Vault,true,false,false,8,27,,89,68,96,35,12,0,0,0,51,100,43,9,44,0,0,0,0,0,0,0,0,20,60,0,0,false,0,0,hakke,,,Spread Shot*,Barrel Shroud*,Full Choke,Tactical Mag*,Alloy Magazine,Threat Remover*,Vorpal Weapon,Cascade Point*,Desperate Measures,Fleet Footed*,Roar of Battle,Häkke Breach Armaments,Kill Tracker,Tier 3: Reload Speed*,,,,,,
Aureus Neutralizer,3981920134,"""6917530146251922595""",archive,Legendary,4,Hand Cannon,trials,KineticSlot,Kinetic,primary,456,Spread Shot,Range,10,Vault,true,false,false,8,27,,89,68,96,76,12,0,0,0,49,100,49,8,37,0,0,0,0,0,0,0,0,20,60,0,0,false,0,15,hakke,,,Spread Shot*,Smoothbore*,Full Choke,Tactical Mag,Flared Magwell*,Proximity Power,Vorpal Weapon*,One-Two Punch,Opening Shot*,Fleet Footed*,Roar of Battle,Häkke Breach Armaments,Kill Tracker,Enhanced Range*,Masterworked: Range*,,,,,
Auric Disabler,702001725,"""6917530143729849602""",archive,Legendary,3,Auto Rifle,trials,KineticSlot,Strand,primary,417,Precision Frame,Reload Speed,2,Vault,true,false,false,8,27,,65,33,29,74,16,0,0,0,62,450,60,40,61,0,0,0,0,0,0,0,0,24,50,0,0,false,0,20,omolon,,,Precision Frame*,Extended Barrel,Fluted Barrel*,Alloy Magazine,Light Mag*,Dragonfly,Zen Moment*,Kill Clip,Target Lock*,Fleet Footed,Roar of Battle*,Omolon Fluid Dynamics,Kill Tracker,Ballistics*,Tier 2: Reload Speed*,Primer*,,,,
Auric Disabler,702001725,"""6917530143975856472""",archive,Legendary,4,Auto Rifle,trials,KineticSlot,Strand,primary,419,Precision Frame,Reload Speed,2,Vault,true,false,false,8,27,,65,33,29,82,16,0,0,0,46,450,50,40,46,0,0,0,0,0,0,0,0,24,50,0,0,false,0,0,omolon,,,Precision Frame*,Corkscrew Rifling,Hammer-Forged Rifling*,Alloy Magazine,Armor-Piercing Rounds*,Lone Wolf*,Zen Moment,Sword Logic*,Tear,Fleet Footed*,Roar of Battle,Omolon Fluid Dynamics,Kill Tracker,Tier 2: Reload Speed*,,,,,,
Auric Disabler,702001725,"""6917530148351561093""",archive,Legendary,5,Auto Rifle,trials,KineticSlot,Strand,primary,468,Precision Frame,Reload Speed,3,Vault,true,false,false,8,27,,75,33,29,69,16,0,0,0,68,450,51,40,42,0,0,0,0,0,0,0,0,24,50,0,0,false,0,0,omolon,,,Precision Frame*,Chambered Compensator*,Extended Barrel,High-Caliber Rounds,Ricochet Rounds*,Lone Wolf*,Slice,Zen Moment,Sword Logic*,Target Lock,Tear,Fleet Footed*,Roar of Battle,Omolon Fluid Dynamics,Kill Tracker,Tier 3: Reload Speed*,Achronal Auric Disabler*,Sparks Everlasting*,,
Aurora Dawn,2111625436,"""6917530141594425978""",keep,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,410,Wave Sword Frame,Impact,2,Vault,true,false,false,8,27,,0,0,65,0,0,0,0,0,0,0,0,67,0,0,0,0,52,82,0,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Honed Edge*,Jagged Edge,Tempered Edge,Burst Guard*,Heavy Guard,Rimestealer*,Tireless Blade,Cold Steel,Elemental Honing*,Vanguard Determination*,Kill Tracker,Tier 2: Impact*,,,,,,,
Aurora Dawn,2111625436,"""6917530143635144597""",keep,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,406,Wave Sword Frame,Impact,1,Vault,true,false,false,8,27,,0,0,62,0,0,0,0,0,0,0,0,71,0,0,0,0,50,82,2,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Jagged Edge,Tempered Edge,Burst Guard*,Heavy Guard,Rimestealer*,Flash Counter,Whirlwind Blade*,Elemental Honing,Vanguard Determination*,Kill Tracker,Tier 1: Impact*,,,,,,,
Aurora Dawn,2111625436,"""6917530144296237089""",keep,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,411,Wave Sword Frame,Impact,1,Vault,true,false,false,8,27,,0,0,62,0,0,0,0,0,0,0,0,71,0,0,0,0,50,82,2,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Enduring Blade,Jagged Edge,Burst Guard*,Heavy Guard,Unrelenting*,Sharp Harvest,One for All*,Elemental Honing,Vanguard Determination*,Kill Tracker,Tier 1: Impact*,,,,,,,
Aurora Dawn,2111625436,"""6917530144298490284""",keep,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,421,Wave Sword Frame,Impact,2,Vault,true,false,false,8,27,,0,0,63,0,0,0,0,0,0,0,0,73,0,0,0,0,50,0,94,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Honed Edge,Jagged Edge,Enduring Guard*,Swordmaster's Guard,Rimestealer*,Sharp Harvest,Cold Steel*,Vorpal Weapon,Vanguard Determination*,Kill Tracker,Tier 2: Impact*,,,,,,,
Aurora Dawn,2111625436,"""6917530144689736499""",keep,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,412,Wave Sword Frame,Impact,3,Vault,true,false,false,8,27,,0,0,63,0,0,0,0,0,0,0,0,73,0,0,0,0,50,41,43,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Enduring Blade,Jagged Edge,Balanced Guard*,Heavy Guard,Flash Counter*,Tireless Blade,Cold Steel*,Vorpal Weapon,Vanguard Determination*,Kill Tracker,Tier 3: Impact*,,,,,,,
Austringer,3055790362,"""6917529931155851217""",keep,Legendary,0,Hand Cannon,haunted,KineticSlot,Kinetic,primary,10,Adaptive Frame,Range,10,Vault,false,false,false,5,17,,95,75,84,71,14,0,0,0,76,140,48,11,49,0,0,0,0,0,0,0,0,13,53,0,0,crafted,74,2891,,,,Adaptive Frame*,Hammer-Forged Rifling*,Ricochet Rounds*,Eye of the Storm*,Zen Moment*,To Excess*,Kill Tracker,Welded Brass*,"Broken Bird, to Be Healed*",,,,,,,,,,,
Bastion,2415517654,"""6917529801719799784""",keep,Exotic,0,Fusion Rifle,,KineticSlot,Kinetic,special,10,Saint's Fists,,,Vault,true,false,false,3,9,,75,65,85,35,15,0,0,0,52,0,24,5,32,800,0,0,0,0,0,0,0,3,30,0,0,false,0,15,,,,Saint's Fists*,Hammer-Forged Rifling*,Liquid Coils*,Breakthrough*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
Battle Scar,1525080480,"""6917530182665876800""",archive,Legendary,5,Pulse Rifle,,KineticSlot,Kinetic,primary,459,Lightweight Frame,Reload Speed,1,Vault,true,false,false,8,28,,85,67,27,33,17,0,0,0,52,450,59,37,83,0,0,0,0,0,0,0,0,15,51,0,0,false,0,0,field-forged,,,Lightweight Frame*,Arrowhead Brake*,Fluted Barrel,Appended Mag*,Extended Mag,Overflow*,Perpetual Motion,Attrition Orbs,Rangefinder*,High Ground,Headseeker,Veteran's Wisdom*,Field-Tested,Kill Tracker,Tier 1: Reload Speed*,Triumphant Pulse*,,,,
Battle Scar,1525080480,"""6917530182673744911""",archive,Legendary,3,Pulse Rifle,,KineticSlot,Kinetic,primary,459,Lightweight Frame,Stability,1,Vault,true,false,false,8,28,,65,67,27,53,17,0,0,0,53,450,56,31,56,0,0,0,0,0,0,0,0,15,51,0,0,false,0,0,field-forged,,,Lightweight Frame*,Extended Barrel*,Fluted Barrel,Accurized Rounds*,Steady Rounds,Keep Away*,Perpetual Motion,Kinetic Tremors*,High Ground,Veteran's Wisdom*,Field-Tested,Kill Tracker,Tier 1: Stability*,,,,,,,
Bellowing Giant,412265080,"""6917530184563291720""",,Legendary,5,Rocket Launcher,,Power,Void,heavy,500,Adaptive Frame,Velocity,1,Warlock(433),false,false,false,8,28,,70,63,0,0,20,100,56,0,40,20,76,1,39,0,0,0,0,0,0,0,0,3,48,0,0,false,0,3,,,,Adaptive Frame*,Volatile Launch*,Confined Launch,Alloy Casing*,Black Powder,Ambitious Assassin,Impromptu Ammunition,Lasting Impression*,Reaper's Tithe*,Aggregate Charge,Bipod,Forge's Kin*,Kill Tracker,Tier 1: Velocity*,Rasmussen Clan*,Triumphant Pulse*,,,,
Beloved,3107853529,"""6917529930816071173""",keep,Legendary,0,Sniper Rifle,haunted,Energy,Solar,special,10,Adaptive Frame,Handling,10,Vault,false,false,false,5,17,,77,68,70,57,40,0,0,0,68,90,40,4,72,0,0,0,0,0,0,0,0,3,36,0,0,crafted,38,165,,,,Adaptive Frame*,Fluted Barrel*,Ricochet Rounds*,Snapshot Sights*,Moving Target*,To Excess*,Kill Tracker,Abyssinian Gold*,,,,,,,,,,,,
Bequest,3366545721,"""6917529935230130317""",keep,Legendary,0,Sword,deepstonecrypt,Power,Arc,heavy,10,Adaptive Frame,Impact,10,Vault,false,false,false,4,12,,0,0,78,0,0,0,0,0,0,0,0,63,0,0,0,0,80,10,40,40,0,0,0,0,0,crafted,16,70,,,,Adaptive Frame*,Jagged Edge*,Swordmaster's Guard*,Relentless Strikes*,Surrounded*,Bray Inheritance*,Kill Tracker,Amethyst Veil*,,,,,,,,,,,,
Black Talon,3766045777,"""6917529526467278219""",keep,Exotic,0,Sword,,Power,Void,heavy,10,Crow's Wings,,,Vault,true,false,false,2,4,,0,0,61,0,0,0,0,0,0,0,0,69,0,0,0,0,65,70,60,40,0,0,0,0,0,false,0,0,,,,Crow's Wings*,Tempered Edge*,Heavy Guard*,Tireless Blade*,Duelist's Trance*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
Blast Furnace,2533990645,"""6917530005030584469""",archive,Legendary,0,Pulse Rifle,brave,KineticSlot,Kinetic,primary,10,Aggressive Burst,Stability,10,Vault,true,false,true,6,23,,65,42,35,86,18,0,0,0,86,450,46,40,24,0,0,0,0,0,0,0,0,15,55,0,0,false,0,4,,,,Aggressive Burst*,Smallbore*,Tactical Mag*,Perpetual Motion*,Kill Clip*,Indomitability*,Kill Tracker,Masterworked: Stability*,BRAVE Blast Furnace*,,,,,,,,,,,
Blast Furnace,2372514508,"""6917530014634339086""",archive,Legendary,0,Pulse Rifle,brave,KineticSlot,Kinetic,primary,10,Aggressive Burst,Stability,1,Vault,true,false,false,6,23,,65,42,35,79,18,0,0,0,75,450,51,36,39,0,0,0,0,0,0,0,0,15,55,0,0,false,0,0,,,,Aggressive Burst*,Fluted Barrel*,Polygonal Rifling,Appended Mag,Flared Magwell*,Headseeker*,Kill Clip*,Indomitability*,Kill Tracker,Tier 1: Stability*,,,,,,,,,,
Blowout,1903182562,"""6917529860016818249""",archive,Legendary,0,Rocket Launcher,crucible,Power,Arc,heavy,10,Adaptive Frame,Handling,1,Vault,true,false,false,5,19,,77,58,0,0,20,45,78,0,29,20,54,1,42,0,0,0,0,0,0,0,0,10,29,0,0,false,0,0,suros,,,Adaptive Frame*,Countermass,Hard Launch*,High-Velocity Rounds*,Implosion Rounds,Ambitious Assassin,Impulse Amplifier*,Chain Reaction*,One Quiet Moment*,Suros Synergy,Kill Tracker,Tier 1: Handling*,,,,,,,,
Boomslang-4fr,3926153598,"""6917530140826643587""",archive,Legendary,4,Linear Fusion Rifle,edgeoffate,Power,Arc,heavy,410,Adaptive Burst,Charge Time,10,Vault,true,false,false,8,27,,77,63,41,51,25,0,0,0,61,0,37,6,45,486,0,0,0,0,0,0,0,10,31,0,0,false,0,44,veist,,,Adaptive Burst*,Fluted Barrel*,Full Bore,Enhanced Battery*,Ionized Battery,Rapid Hit*,Envious Arsenal,Reservoir Burst,Precision Instrument*,Vanguard Determination,Veist Stinger*,Kill Tracker,Masterworked: Charge Time*,Primer*,,,,,,
Brigand's Law,1298815317,"""6917529827918019488""",archive,Legendary,0,Sidearm,seasonpass,Energy,Arc,primary,10,Rapid-Fire Frame,Reload Speed,3,Vault,true,false,false,5,18,,95,59,35,25,12,0,0,0,73,450,54,16,56,0,0,0,0,0,0,0,0,14,67,0,0,false,0,60,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Extended Barrel,Tactical Mag*,Steady Rounds,Threat Detector*,Voltshot*,Right Hook*,Kill Tracker,Tier 3: Reload Speed*,,,,,,,,,,
